dataset	cell	class	star_reads	bed_reads	bed_rows	reads_1biotype	reads_mixed	exon	intron	tRNA	mixed_label	reads_offspecies	rows_offspecies
published, mouse wells	162	multi	24952	19044	59105	6641	12403	11183	3497	0	4364	792	6320
published, mouse wells	162	single	133469	118562	145967	116650	1912	72971	41252	0	4339	2362	2858
published, mouse wells	164	multi	17027	12960	39668	4605	8355	7910	2197	0	2853	502	3247
published, mouse wells	164	single	92631	82361	99686	81243	1118	47345	32016	0	3000	1402	1703
published, mouse wells	166	multi	12533	9947	31030	3308	6639	6417	1331	0	2199	384	1890
published, mouse wells	166	single	58013	50914	63449	50215	699	34672	14230	1	2011	846	1001
published, mouse wells	170	multi	11799	8911	28069	3328	5583	4866	1710	0	2335	721	4687
published, mouse wells	170	single	75615	65606	79063	64650	956	35573	27676	7	2350	2756	3351
published, mouse wells	172	multi	22021	17037	52317	6248	10789	10426	2911	1	3699	747	4202
published, mouse wells	172	single	128179	112630	135177	111097	1533	62208	46585	0	3837	1491	1833
published, mouse wells	174	multi	11552	8846	26564	3505	5341	5033	2002	1	1810	490	3068
published, mouse wells	174	single	93011	81335	95936	80256	1079	39986	38449	1	2899	1719	2157
published, mouse wells	176	multi	23633	18994	61207	6546	12448	11963	2533	2	4496	619	3780
published, mouse wells	176	single	109392	98873	122787	97293	1580	65262	30112	1	3498	2415	2936
published, mouse wells	178	multi	24879	18775	56628	7445	11330	10959	3619	1	4196	715	4842
published, mouse wells	178	single	143551	127546	154430	125823	1723	73554	49481	6	4505	2042	2412
published, mouse wells	180	multi	42649	32482	99450	12745	19737	18841	6609	10	7022	1518	10146
published, mouse wells	180	single	255829	226863	273865	223561	3302	128594	90580	13	7676	4087	4906
published, mouse wells	182	multi	20497	16008	49000	6173	9835	9261	2879	1	3867	732	4629
published, mouse wells	182	single	117966	106525	128633	105016	1509	63243	39244	20	4018	2223	2643
published, mouse wells	184	multi	34117	27104	83841	9825	17279	15840	4433	0	6831	1115	10658
published, mouse wells	184	single	221460	204637	250195	202074	2563	121419	76109	0	7109	3201	3923
published, mouse wells	186	multi	82625	52731	162720	22167	30564	28335	10810	4	13582	2747	19889
published, mouse wells	186	single	417758	369822	446542	363937	5885	204251	152099	7	13465	6789	8223
published, mouse wells	188	multi	28142	21936	67463	8041	13895	12859	3727	3	5347	1003	7604
published, mouse wells	188	single	165324	147037	177730	144665	2372	82622	59585	8	4822	3216	3880
published, mouse wells	190	multi	33213	25216	77423	10136	15080	14426	4849	0	5941	1523	10016
published, mouse wells	190	single	207265	184442	223354	181884	2558	104635	73178	5	6624	4272	5209
published, mouse wells	194	multi	7314	5292	17400	1761	3531	3028	747	4	1513	204	1352
published, mouse wells	194	single	31068	26880	33235	25666	1214	16309	9737	14	820	549	671
published, mouse wells	196	multi	14944	11670	39208	3667	8003	6353	1619	4	3694	598	5740
published, mouse wells	196	single	79250	70780	88614	69175	1605	46188	22526	9	2057	2552	3138
published, mouse wells	198	multi	29204	18639	56964	7530	11109	11077	3511	0	4051	869	5677
published, mouse wells	198	single	155749	130892	158431	129323	1569	76356	50289	0	4247	2152	2584
published, mouse wells	200	multi	33493	24024	75081	9106	14918	13724	4243	1	6056	3516	17940
published, mouse wells	200	single	218913	169966	206440	167720	2246	97902	65924	13	6127	31831	40191
published, mouse wells	202	multi	75796	59622	188627	22200	37422	33780	10713	13	15116	2355	20188
published, mouse wells	202	single	483302	439984	537841	433584	6400	256349	167076	19	16540	7590	9129
published, mouse wells	204	multi	27390	21363	75187	7510	13853	11648	3290	3	6422	1606	13439
published, mouse wells	204	single	178929	161019	199178	158531	2488	102915	52353	5	5746	5071	6163
published, mouse wells	208	multi	42984	34714	120743	11306	23408	18054	5526	8	11126	1903	21840
published, mouse wells	208	single	269493	246609	300569	242472	4137	143974	96603	43	5989	8216	9976
published, mouse wells	210	multi	43999	35859	113995	12983	22876	20756	5884	0	9219	1440	15072
published, mouse wells	210	single	296658	275325	333719	271431	3894	155033	110294	12	9986	4839	5824
published, mouse wells	214	multi	8979	6912	21509	2667	4245	3966	1277	0	1669	389	2323
published, mouse wells	214	single	53775	48377	59734	47724	653	30049	16584	3	1741	1304	1593
published, mouse wells	215	multi	19669	14524	44313	5639	8885	7605	3224	1	3694	999	6867
published, mouse wells	215	single	137310	120222	142823	118681	1541	61793	53908	2	4519	3911	4707
published, mouse wells	218	multi	36014	28832	95490	10342	18490	14687	5451	4	8690	1182	12443
published, mouse wells	218	single	240531	219808	268908	216376	3432	125359	86240	13	8196	3772	4513
published, mouse wells	220	multi	57498	45357	147377	17059	28298	24998	8540	5	11814	1617	17194
published, mouse wells	220	single	394445	360790	440942	354981	5809	208627	138111	28	14024	5761	7044
published, mouse wells	222	multi	41141	32820	99209	11945	20875	19713	5308	0	7799	1095	8872
published, mouse wells	222	single	254878	230354	278606	227319	3035	133604	89239	15	7496	3125	3774
published, mouse wells	224	multi	12041	9506	28701	3120	6386	6045	1227	0	2234	336	1978
